Barcode,Product Name,Company,Product,Material,Waste Name,Size,Picture 
8999777004514,NIVEA COOL KICK,PT BEIERDORSF INDONESIA,NIVEA,KACA,KACA,,niveacoolkick.jpg
8886013300601,mie enaak,PT SIANTAR TOP TBK INDONESIA,MIEEANAAK,PLASTIK,PP,,mieenak.jpg
8999908273307,MARINA HIJAU 350 ML,PT JAYA UTAMA SANTIKAH INDONESIA,MARINA,PLASTIK,HDPE,,marinahijau_350ml.jpg
8993176720808,MINYAK EKALIPTUS 60ML,PT EAGLE INDO DHARMA PHARMA INDONESIA,CAPLANG,PLASTIK,PETE/PET,,caplanglavender_60ml.jpg
8993200663057,cimory mixed berry,PT CISARUA MOUNTAIN DAIRY INDONESIA,CIMORY,PLASTIK,HDPE,,cimorymixedberry.jpg
8991002121089,GOOD DAY BOTOL,PT SANTOS JAYA ABADI INDONESIA,GOODDAY,PLASTIK,PETE/PET,,gooddaybotol.jpg
8992222072762,PIXY ULTIMATE WHITE PORCELAIN,PT MANDOM INDONESIA TBK,PIXYREFILL,PLASTIK,OTHER,,pixyultimatewhiteporcelain.jpg
8999999041137,TRESEMME COND SMOOTH & SHINE 170 ML,PT UNILEVER INDONESIA TBK,TRESEMME,PLASTIK,HDPE,,tresemmecondsmood&shine_170ml.jpg
8996001305119,ROMA COOKIES,PT MAYORA OFFICIAL STORE INDONESIA,BISKUIT,PLASTIK,PLASTIK,,romacookies.jpg
8999999048440,SUNSILK LIVELY STRAIGHT 170 ML,PT UNILEVER INDONESIA TBK,SUNSILK,PLASTIK,HDPE,,sunsilklivelystraight_170ml.jpg
8992856897748,sumber ayu 90 ml,PT MARTINA BERTO TBK INDONESIA,SUMBERAYU,PLASTIK,HDPE,,sumberayu_90ml.jpg
8992222073196,PIXY BB CREAM OCHRE,PT MANDOM INDONESIA TBK,PIXY,PLASTIK,OTHER,,pixybbcreamochre.jpg
8999908045706,MARINA NUTRI FRESH 200 ML,PT BARCLAY PRODUCTS,MARINA,PLASTIK,HDPE,,marinanutrifresh_200ml.jpg
8999999502218,WALLS CHOCHO NHUTTY,PT UNILEVER INDONESIA ,WALLS,PLASTIK,PS,,wallschochonhutty.jpg
8998866200882,MIE SUKSES ISI 2 AYAM KREMESS,PT WINGS FOOD INDONESIA,SUKSESSMIE,PLASTIK,PP,,miesuksesisi2ayamkremes.jpg
8999999047191,PP. CHOCHO MAGMA,PT UNILEVER INDONESIA ,PADDLEPOP,PLASTIK,PP,,ppchochomagma.jpg
8992750540511,MITU REFFIL BABY BLUE,PT MEGA SARI MAKMUR INDONESIA,MITU,PLASTIK,PP,,miturefillbabyblue.jpg
8992750540528,MITU BABY YELLOW,PT GODREJ INDONESIA,WETTIES,PLASTIK,PP,,mitubabyyellow.jpg
8992750540856,MITU BABY SOFT  24 PINK,PT MEGA SARI MAKMUR INDONESIA,MITU,PLASTIK,PP,,mitubabysoft24pink.jpg
8992750540900,MITU WIPES BABY TRAVEL  PINK,PT MEGA SARI MAKMUR INDONESIA,MITU,PLASTIK,PP,,mituwipestravelbabypink.jpg
8992750540917,MITU BABY FRESH & CLEAN,PT MEGA SARI MAKMUR INDONESIA,MITU,PLASTIK,PP,,mitubabyfresh&clean.jpg
